timestamp_utc,est_time,market,decision,buy_side,entry_price,exit_price,pnl,outcome,entry_remaining_secs,secs_to_60c,secs_to_70c,leader_bid_depth,leader_bid_70plus,other_bid_depth,depth_ratio,spread_at_buy,bid_levels_at_buy,btc_start,btc_at_buy,btc_at_end,btc_move_dollars,avg_spread,max_spread,spread_widened_before_exit,prev_window_side,prev_window_outcome,was_choppy,yes_high,no_high
2026-03-05 21:00:10,16:00:10,"Bitcoin Up or Down - March 5, 3:55PM-4:00PM ET",skip-no-leader,,0.0,0.0,0.0,skipped-no-leader,0.0,0,0,0.0,0.0,0.0,0,0.0,0,71237.86,0.0,71248.53,10.67,0.005,0.01,False,,,False,0.99,0.01
2026-03-05 21:04:07,16:04:07,"Bitcoin Up or Down - March 5, 4:00PM-4:05PM ET",buy,Up,0.76,0.97,5.53,tp,155.0,61.7,72.5,10615.0,2685.0,1975.0,5.37,0.01,76,71248.53,71299.92,71326.44,77.91,0.0111,0.02,False,,,False,0.97,0.41
2026-03-05 21:09:58,16:09:58,"Bitcoin Up or Down - March 5, 4:05PM-4:10PM ET",buy,Down,0.72,1.0,7.78,resolved-win,177.0,61.6,82.3,8253.0,229.0,1967.0,4.2,0.01,72,71335.51,71300.37,71329.53,5.98,0.0117,0.02,True,Up,tp,False,0.42,0.91
2026-03-05 21:14:57,16:14:57,"Bitcoin Up or Down - March 5, 4:10PM-4:15PM ET",buy,Down,0.77,1.0,5.97,resolved-win,178.0,51.7,51.7,8118.0,1543.0,1582.0,5.13,0.01,77,71330.38,71290.39,71301.71,28.67,0.0108,0.02,False,Down,resolved-win,False,0.34,0.98
2026-03-05 21:17:42,16:17:42,"Bitcoin Up or Down - March 5, 4:15PM-4:20PM ET",buy,Up,0.86,0.97,2.56,tp,179.0,71.9,71.9,8217.0,3406.0,662.0,12.42,0.03,86,71301.7,71396.85,71484.11,182.41,0.02,0.05,False,Down,resolved-win,False,0.97,0.41
2026-03-05 21:24:34,16:24:34,"Bitcoin Up or Down - March 5, 4:20PM-4:25PM ET",buy,Down,0.75,0.96,5.6,tp,160.0,123.9,134.2,8346.0,2583.0,1134.0,7.36,0.01,75,71477.46,71423.81,71432.21,45.25,0.0114,0.02,False,Up,tp,False,0.55,0.96
2026-03-05 21:28:52,16:28:52,"Bitcoin Up or Down - March 5, 4:25PM-4:30PM ET",buy,Down,0.79,0.2,-14.94,sl,171.0,103.3,113.6,8989.0,3010.0,1215.0,7.4,0.01,79,71484.49,71442.0,71518.43,33.94,0.0112,0.03,False,Down,tp,True,0.79,0.85
2026-03-05 21:35:03,16:35:03,"Bitcoin Up or Down - March 5, 4:30PM-4:35PM ET",skip-choppy,,0.0,0.0,0.0,skipped-choppy,0.0,0,0,0.0,0.0,0.0,0,0.0,0,71526.0,0.0,71422.45,103.55,0.0143,0.09,False,Down,sl,True,0.68,0.99
2026-03-05 21:40:02,16:40:02,"Bitcoin Up or Down - March 5, 4:35PM-4:40PM ET",skip-no-leader,,0.0,0.0,0.0,skipped-no-leader,0.0,0,0,0.0,0.0,0.0,0,0.0,0,71422.45,0.0,71138.91,283.54,0.0074,0.02,False,Down,sl,False,0.18,0.99
2026-03-05 21:44:30,16:44:30,"Bitcoin Up or Down - March 5, 4:40PM-4:45PM ET",buy,Up,0.81,0.95,3.46,tp,71.0,61.6,82.3,9911.0,2958.0,946.0,10.48,0.02,81,71138.91,71184.67,71188.99,50.08,0.0124,0.02,False,Down,sl,False,0.95,0.45
