timestamp,est_time,market,side,type,entry_price,exit_price,qty,pnl,exit_reason,filter_reason
2026-03-11 15:29:04,03:29:04 PM,"Bitcoin Up or Down - March 11, 3:25PM-3:30PM ET",Up,phantom-no_leader,0.5,0.12,40,-15.2,phantom-lose,no_leader
2026-03-11 15:34:03,03:34:03 PM,"Bitcoin Up or Down - March 11, 3:30PM-3:35PM ET",Up,phantom-choppy,0.93,0.94,21,0.21,phantom-win,choppy
2026-03-11 15:39:55,03:39:55 PM,"Bitcoin Up or Down - March 11, 3:35PM-3:40PM ET",Up,real,0.89,1.0,22.0,2.42,resolved-win,
2026-03-11 15:44:43,03:44:43 PM,"Bitcoin Up or Down - March 11, 3:40PM-3:45PM ET",Down,real,0.71,0.37,28.0,-9.52,sl,
2026-03-11 15:49:40,03:49:40 PM,"Bitcoin Up or Down - March 11, 3:45PM-3:50PM ET",Down,real,0.79,0.94,25.0,3.75,tp,
2026-03-11 15:54:37,03:54:37 PM,"Bitcoin Up or Down - March 11, 3:50PM-3:55PM ET",Up,real,0.75,0.94,26.0,4.94,tp,
2026-03-11 15:59:07,03:59:07 PM,"Bitcoin Up or Down - March 11, 3:55PM-4:00PM ET",Down,real,0.87,0.94,22.0,1.54,tp,
2026-03-11 16:02:40,04:02:40 PM,"Bitcoin Up or Down - March 11, 4:00PM-4:05PM ET",Down,real,0.88,0.94,22.0,1.32,tp,
2026-03-11 16:09:38,04:09:38 PM,"Bitcoin Up or Down - March 11, 4:05PM-4:10PM ET",Up,real,0.72,0.2,27.0,-14.04,sl,
2026-03-11 16:14:12,04:14:12 PM,"Bitcoin Up or Down - March 11, 4:10PM-4:15PM ET",Down,real,0.74,0.94,27.0,5.4,tp,
2026-03-11 16:19:08,04:19:08 PM,"Bitcoin Up or Down - March 11, 4:15PM-4:20PM ET",Up,real,0.81,0.94,24.0,3.12,tp,
2026-03-11 16:24:09,04:24:09 PM,"Bitcoin Up or Down - March 11, 4:20PM-4:25PM ET",Down,real,0.84,0.94,23.0,2.3,tp,
2026-03-11 16:29:55,04:29:55 PM,"Bitcoin Up or Down - March 11, 4:25PM-4:30PM ET",Down,real,0.77,1.0,25.0,5.75,resolved-win,
2026-03-11 16:34:32,04:34:32 PM,"Bitcoin Up or Down - March 11, 4:30PM-4:35PM ET",Up,real,0.83,0.94,24.0,2.64,tp,
2026-03-11 16:39:15,04:39:15 PM,"Bitcoin Up or Down - March 11, 4:35PM-4:40PM ET",Down,phantom-choppy,0.92,0.94,21,0.42,phantom-win,choppy
2026-03-11 16:44:19,04:44:19 PM,"Bitcoin Up or Down - March 11, 4:40PM-4:45PM ET",Up,real,0.77,0.94,25.0,4.25,tp,
2026-03-11 16:49:06,04:49:06 PM,"Bitcoin Up or Down - March 11, 4:45PM-4:50PM ET",Down,phantom-choppy,0.73,0.44,27,-7.83,phantom-lose,choppy
2026-03-11 16:54:22,04:54:22 PM,"Bitcoin Up or Down - March 11, 4:50PM-4:55PM ET",Down,phantom-choppy,0.97,0.33,20,-12.8,phantom-lose,choppy
